Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
Developing A.oryzae as a food-grade protein production platform,"Large-scale production of functional proteins in a cost-effective manner is of outstanding importance. For instance, cellular agriculture has been suggested as a promising solution to global food security issues caused by current animal-centric protein sourcing. However, the media components and growth factors required for cellular agriculture are exorbitantly expensive. Economical production of mammalian growth factors can make cellular agriculture affordable and financially viable. In this project, we will explore the possibility of using the food-grade fungus A. oryzae as a host for producing active mammalian growth factors and other proteins of commercial value. ","Student will learn to use routine methods in cellular and molecular biology 

 Student  will be able to perform an objective assessment of data and interpret results.

Student will be trained on how to plan and execute an experiment.

Student will learn the importance of maintaining a detailed record of experimental observations.

Student will be trained to  read research papers and enhance their knowledge base and improve their presentation skills.","· Perform research using techniques in genetics, biochemistry, molecular biology, and cell biology.
· Help in preparing Media, buffer, plates and reagents for the laboratory.
· Process, analyze and report data and in a timely and effective manner
· Maintain an accurate and detailed record of experimental details, and present the research work in seminars 
· Perform all tasks in accordance with relevant laboratory safety guidelines.
· Undertake tasks assigned by supervisors as and when appropriate.",A passion for  science and experimental research ,Student will be a part of a team and actively contribute to the proposed project by designing  and performing experiments and interpreting the data,SIFBI,Strain Engineering,Prakash Arumugam,"1.	Singapore Institute of Food and Biotechnology Innovation, A*STAR, 31 Biopolis Way, Singapore 138869",Biomedical Sciences,1
Isolation and screening of edible microbes from fermented foods and their potential applications,"Fermented foods contain rich microbial resources with various reported benefits. Microbes isolated from fermented foods have various potentials for a wide range of applications, including being used as probiotics, starter cultures and source of health-promoting bioactives. In this project, the overall objective is to isolate microbes from various local food sources and further analyse their beneficial potentials using genotyping and in vitro-based methods. Selected strains with potentially useful properties will be sequenced and bioinformatic analysis will be further performed to map the strains’ full potential at genetic level.","Students will learn microbiology and fermentation methods, including various in vitro-based biological assays. Students will also learn how to critically analyse scientific data obtained from experiments and interpret results. Overall, the experimental and analytical skills will be polished through this internship.","• Fulfilling tasks assigned by a supervisor
• Learning and performing experiments, analyzing data and interpreting results
• Assisting and positively contributing to the team","• Good verbal and non-verbal communication skills
• Good organization skills
• Attention to detail
• Self-motivated, learning attitude","The successful candidate will be involved in microbiology and fermentation related projects for 6 months period. The successful candidate is expected to assist, perform experiments, positively contribute to the team and fulfilling tasks assigned by a supervisor. The student will receive guidance and mentorship from a supervisor, will learn how to conduct scientific experiments, analyze data and interpret results.",SIFBI,Discovery CG,Elvina Parlindungan,"31 Biopolis Way
Nanos Level 2
Singapore 138669",Biomedical Sciences,1
Developing an efficient microbial strain for acetate and ethanol assimilation to produce high-value food ingredients,"To overcome the challenges in climate change and limited fossil fuel, we aim to develop novel microbes to efficiently utilize the so-called Generation 3 feedstock, such as ethanol and acetate, which can be synthetized from CO2 and H2. We aim to 1) improve the cell growth on the non-conventional C2 feedstock; 2) revalorize them to produce  high-value food ingredients, such as carotenoids, vitamins, and omega-3 oil.",1) molecular biology skills; 2) modern synthetic biology; 3) metabolic engineering; 4) cloning and genomic editing such as CRISPR technology; 5) analytical chemistry; 6) fermentation technique,1) cloning and molecular biology work; 2) microbial cell culture; 3) product extraction and analysis; 4) assist microbial fermentation; 5) optimize strain performance.,"Knowledge of cloning, molecular biology, biotechnology and microbiology. Quick to grasp new knowledge and skills. ","The job aims to select students who are keen to learn applied microbiology, fermentation and synthetic biology.",SIFBI,Strain engineering,Simon Zhang Congqiang,"31 Biopolis Way, Level 6 Nanos building
Singapore 138669",Engineering & Technology,1
Investigating Modified-Texture Foods for Dysphagia Patients,"This project aims to study the impact of ingredients and processing on the texture and rheology of foods and beverages, particularly in the context of dysphagia meals. Dysphagia is a swallowing disorder that often requires modified-texture foods to ensure safe and enjoyable consumption. Using the International Dysphagia Diet Standardisation Initiative (IDDSI) framework as a guideline, the student will work with benchmark recipes and formulations to manipulate food textures and rheological properties. Through a combination of formulation adjustments and thorough techno-functional characterizations, this project seeks to understand the correlations between ingredient modifications, processing parameters, and final food texture. The ultimate goal is to develop a predictive model for achieving specific dysphagia-friendly textures in food and beverage products.","Gain in-depth knowledge of dysphagia and its dietary requirements.
Develop proficiency in food formulation and processing techniques.
Acquire skills in techno-functional characterization of food products.
Understand the principles of rheology and its impact on food texture.
Learn how to use data analysis and statistical tools to identify correlations and make predictions.","Responsible for conducting experiments, data collection, and analysis.
Assists in data analysis, statistical modeling, and interpretation.
Conducts extensive literature reviews on dysphagia, food science, and relevant research.","A background in food science, nutrition, or a related field.
Strong interest in food formulation, rheology, and food texture.
Willingness to work with dietary guidelines and recipes.
Proficiency in data analysis and statistical tools (beneficial but not mandatory).","Formulating and preparing food and beverage samples based on IDDSI guidelines.
Conducting experiments to evaluate the impact of ingredient and processing changes on texture and rheological properties.
Collecting and analyzing data using rheological and sensory evaluation methods.
Assisting in data interpretation, statistical analysis, and development of predictive models.
Documenting findings and contributing to research reports and publications.",SIFBI,SIFBI,Daryl Lee,31 Biopolis Way,Engineering & Technology,1
Discovery and validation of novel immunotherapy targets for HCC using in vivo CRISPR gene editing of CD8 T cells,"The lab's primary research focus is using functional screening approaches to identify candidate targets for downstream immunotherapeutics development. We have recently completed a focused in vivo CRISPR screen for immunosuppressive surface receptors on tumour-specific CD8 cytotoxic T cells that are active in the tumour microenvironment of mice with liver cancer (hepatocellular carcinoma, HCC). In the next phase of the project, we will be validating the screen hits based on demonstrated efficacy and based on uncovering aspects of their biological mechanism of immunosuppression on anti-tumour CD8 T cells.","Students will learn: (1) how to design and validate CRISPR gene editing reagents using molecular biology techniques, (2) cell culture and in vitro experimental techniques for primary T cells, and (3) multi-colour flow cytometry. These skills will culminate in the student planning, executing, and analysing data collected from an experiment under my supervision.","Students will be required to: (1) commit to the minimum duration of the internship stipulated to the award, (2) maintain a laboratory notebook recording their learning, experimental protocols, and results, and (3) present their research work and findings in a 20-minute long lab meeting presentation, in addition to university requirements for the internship.",Prospective students should have demonstrated knowledge in molecular biology and cell biology (such has having previously taken the relevant modules in prior semesters). Background knowledge in immunology and biochemistry is helpful but not required.,"The student intern's primary job description is to learn from the project supervisor and/or assigned senior lab personnel instructing them to achieve the learning outcomes. The student's secondary job description is to assist the project supervisor with specific procedures under close supervision on an ad hoc basis. The student's tertiary job description will be to perform routine lab maintenance work (e.g. clearing biohazard waste, sending and collecting items for autoclaving etc.) as part of a roster of staff and interns.",SIgN,OR Lab,TAY Rong En,"8A Biomedical Grove, #04-06 Immunos Building, Singapore 138648",Biomedical Sciences,1
Assist in the development of 3D tumour models to test anti-cancer therpy,"Theraputic development often overlook the importance of the tumour microenvironment. This may result in the therapy  to be clinically ineffective. Therefore, we develop 3D tumour models that include multicellular tissues to mimic cell-cell and cell-matrix interactions, responsible for complex phenomena like drug resistance and immunesuppression within the tumor microenvironment. ","Student will be trained on: 2D cell culture, 3D cell culture, procedures to work in a biological lab, use of a biological safety cabinet, lab maintenance, fluorescent imaging, image analysis, data analysis and statistics. The candidate will learn image analysis and will practise presentation skills during the lab meetings. ","The Student will be responsible of maintaining the culture of cells and preparing them to set up the 3D functional assay. The candidate will assist in performing imaging by fluorescent microscopes. The candidate will help in analysing images and data, calculate statistics and prepare presentations. Responsibilities will also include maintaining lab safety and operations. ","A knowledge in cell biology and a basic experience working in a biological lab, and with tissue culture would be appreciated. Commitment to work, interest in the project, quick-learning skills, and good communication skills are expected. ",The candidate will assist in the development of 3D in vitro models to perform functional assays and compound testing. The candidate will assist in image and data analysis. The candidate will perform literature search and present during the lab meetings. ,SIgN,Department of Biomedical Engineering ,Giulia Adriani,"8A Biomedical Grove, #04-06 Immunos Building, Singapore 138648",Biomedical Sciences,1
"Design, fabrication and application of large-scale-integrated (LSI) digital microfluidics","A Digital Microfluidics (DMF) technology manipulates liquid droplets into programmed biochemical reactions by controlling the individual droplet. In a large-scale-integrated (LSI) digital microfluidics device, thousands of droplets with picolitre to nanolitre volume perform pre-programmed microfluidic operations (droplet generation, mixing, splitting) which enable complex and autonomous biochemical protocols, such as chemical synthesis, DNA extraction & separation, gene assembly & editing. In this project, the technical challenges related to the design, fabrication and application of LSI digital microfluidics will be investigated, including the microfabrication process, electrowetting control and programming, droplet sensing and routing, microfluidics system integration, etc. ","- understand the fundamentals about digital microfluidics and electrowetting
- gain the skills in handling and improving the microfabrication process for building up LSI digital microfluidic devices, including the device/material characterization methods
- gain experience in digital microfluidics testing and analysis
- understand the droplet control and sensing mechanism, be able to program the droplet routing based on the digital microfluidics protocol","Involve in the LSI digital microfluidics development project, contribute to at least one of following tasks
- microfabrication process development
-  digital microfluidics device design and fabrication
-  digital microfluidics testing and data analysis
-  electrical control system development and programming
- design and develop droplet routing program according to the microfluidics protocol",,"- accept the designated research project
- gain the knowledge and skills through self-learning and on-job training
- propose ideas and solutions to the project team
- conduct experiments, acquire the data and analyze the results
- share the research outcomes in the team through presentation and report writing",SIMTech,Microfluids & MedTech Devices (MMD),Zhenfeng Wang,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
AI and Knowledge System for Resource Circularity,"Resource circularity, often referred to as the circular economy plays an important role in resource conservation, environment sustainability and economic efficiency. This project focus on AI and Knowledge System for Resource Circularity","1. AI skills 
2. Software Skills
3. Concept of Sustainability and Circular Economy
","1) Data acquisition for recycling and waste-to-resource conversion technologies 2) Build the multi-modal learning model by using various data type (e.g. waste photo, text data in the literature) for resource circularity. ","1. Basic Knowledge on Python Programming
2. Basik Knowledge on Machine Learning","Resource circularity, often referred to as the circular economy plays an important role in resource conservation, environment sustainability and economic efficiency. This project focus on AI and Knowledge System for Resource Circularity. In particular, the main tasks for this project are 1) Data acquisition for recycling and waste-to-resource conversion technologies, including literature data, waste photo and etc. 2) Build the multi-modal learning model by using various data type for resource circularity. ",SIMTech,Sustainability Informatics & Strategy (SIS),Yajuan Sun,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
Computational modelling of SARS-CoV-2 variant proteins,"The emergence of novel SARS-CoV-2 variants has caused new waves of COVID-19 around the world. Mutations in the spike protein create viruses that are more resistant to neutralizing antibodies including those arising from vaccines. There is an urgent need to understand how these mutations affect virulence. In this project, molecular modelling and simulations will be used to predict the effects of mutations in the spike protein on its interactions with various molecules including antibodies and lipids. The outcome of the project will contribute towards our knowledge of vaccine and drug development targeting COVID-19.","The students will learn how to use cutting-edge programs and tools in the areas of computational biology, bioinformatics, and structure-based drug design. They will gain knowledge in principles of structural biology and the chemistry and biophysics of biomolecular systems. This will enable them to elucidate the structure-function relationships of proteins, such as the roles of mutations in protein dynamics and protein-protein binding, enabling the prediction of antibody interactions with therapeutic targets such as viral proteins.","The student will perform the study as described  with supervision from members of the research team. The student will be responsible for doing literature research, searches on bioinformatics servers, setting up simulation systems, and performing subsequent data analysis. Other duties include attending and/or presenting at group meetings, learning how to generate graphs and figures to present data, and writing project reports.","The student must have basic knowledge in protein biochemistry, especially structural biology and intermolecular interactions. Experience using Linux command line environments is an advantage. Other desirable skills include experience using bioinformatics servers such as the Protein DataBank (PDB), performing literature searches, and working with biomolecular visualization programs such as PyMOL or VMD. The student must be willing and enthusiastic to learn the basics of computational structural biology, including molecular dynamics simulations and simple scripting with Python. ","The student will do literature and database searches of SARS-CoV-2 variants and identify key mutations in the spike protein. Using suitable  programs, the student will model these mutations and anticipate whether they will affect lipid and antibody binding. Selected spike mutants  will be subject to molecular dynamics simulations, after which the student will perform data analysis to assess protein dynamics.",BII,"Biomolecular Structure to Mechanism Division / Multiscale Simulation, Modelling and Design group",Peter J Bond,"30 Biopolis Street, #07-01 Matrix, 138671",Biomedical Sciences,1
DSVC - WP 2.4 Few-shot product quality and machine condition prediction for reconfigurable manufacturing system,"Predictive maintenance (PdM) is a hot trend in advanced manufacturing in recent time thanks to the development of IIoT, emerging technology, and deep learning algorithms. A main challenge of PdM applications is that most of data samples the in industrial practice are under normal or healthy condition while the fault samples are scarce. This affects seriously the accuracy of the built deep learning models due to the biases towards the normal condition as the data have a highly imbalanced ratio among normal and faulty samples. This project aims to solve the issue by developing a few-shot learning-based PdM framework for machines in industrial manufacturing. ","- Be able to understand IIoT and sensorization
- Be able to develop skill sets and knowledge of data analysis and signal processing. 
- Be able to develop algorithms for PdM 
","1. Pre-process data collected from experiments
2. Develop algo for PdM under supervision
3. Report the work progress","1.	Engineering, Programming skill (Python, Matlab, Go, C/C++).
2.	Familiar with Pytorch or Tensorflow frameworks","1.	Data collection/experiments
2.	Data analysis/data pre-processing
3.	Develop a framework-based few-shot learning algorithms under supervisor",SIMTech,Cyber-Physical Production System (CPPS),Van Tung Tran,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
Intelligent Robotic Manipulation System with Deep Learning,"This project is to develop and research the intelligent robotic systems in areas of advanced robotic manipulation. Intelligent robotic manipulation includes the perception of environment and execute action for achieving specific tasks. For those functions, artificial intelligence and deep learning can play an important role to replace the traditional human-designed feature engineering and embody the agent with self-learning ability to adapt with new environment. The students will evolve in our project to assist in the research phase (deep learning algorithm implementation) and experimental phase of the project.","During this attachment, the students will have the opportunity to participate in and assist the research projects on intelligent robotics and will have hand-on trainings on multiple fields in robot related areas, e.g. Linux/Robot Operating System (ROS) programming, deep learning frameworks (TensorFlow, Pytorch, etc.), computer vision, data-driven optimization, system design, etc.","1.	Algorithm Development:
Implement and optimize deep learning models using frameworks like TensorFlow and PyTorch for various robotic tasks, such as object recognition, pose estimation, or grasping.
2.	Data Collection and Processing:
Participate in data collection efforts, which may involve sensor data, images, or videos, and assist in data preprocessing and annotation.
3.	Robot Programming:
Gain proficiency in Linux and Robot Operating System (ROS) programming to work with robotic hardware and control systems.
5.	Computer Vision and Deep Learning:
Contribute to computer vision tasks, including image processing, feature extraction, and object tracking, to enhance the robot's perception capabilities.","1, Willing and have passion to explore new areas.
2, Programming experience on any language (C++, Python, Java, C#, etc.) will be preferred.","We are seeking highly motivated and tech-savvy students to join our team as interns in the field of intelligent robotic systems. As an intern, you will have the opportunity to work on cutting-edge projects in advanced robotic manipulation and gain hands-on experience in artificial intelligence, deep learning, and robotics. You will be an integral part of our research and development efforts, contributing to the implementation of deep learning algorithms and conducting experiments to enhance robotic perception and manipulation.",SIMTech,Adaptive Robotics & Mechatronics (ARM),Haiyue Zhu,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
Applications of Large Language Models in Industrial Symbiosis: A Deep Dive into Sustainable Collaborative Systems,"This topic seeks to deeply investigate the transformative potential of large language models (LLMs) in the domain of industrial symbiosis. Industrial symbiosis, a cornerstone of sustainable industrial practices, involves the shared exchange of resources, information, and capabilities among diverse industries, leading to mutual benefits and reduced environmental footprints.","1. Understand the principles and benefits of sustainable industrial practices.
2. Identify the role of technology, especially large language models, in promoting and facilitating industrial symbiosis.
3. Evaluate the potential of LLMs in enhancing collaboration, resource optimization, and sustainable outcomes in diverse industries.","1. Students will be part of the group, and work closely with group members.
2. Analyze data, case studies, and real-world examples to enhance understanding and application of knowledge.
3. Work effectively in teams, respecting diverse perspectives and expertise.",N.A.,"As a student in this course, you will delve deep into the transformative potential of large language models (LLMs) in the domain of industrial symbiosis. You will actively engage in understanding, researching, and applying knowledge about the integration of LLMs with sustainable industrial practices.",SIMTech,Sustainability Informatics & Strategy (SIS),Yang Zhao,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
Generative AI for Enhancing Life Cycle Inventory Datasets: Creating Comprehensive and Consistent Data Landscapes,"Life Cycle Assessment (LCA) serves as a pivotal tool in evaluating the environmental impacts of products and processes. However, the accuracy and reliability of LCA results heavily depend on the comprehensiveness and quality of Life Cycle Inventory (LCI) datasets. Given the vast array of products and processes, LCI often encounters gaps. This research intends to employ generative AI models, such as Generative Adversarial Networks (GANs), to synthesize data for these gaps, ensuring a more robust and expansive LCI dataset.","1. Grasp the principles of Life Cycle Assessment (LCA) and the importance of comprehensive Life Cycle Inventory (LCI) datasets.
2. Understand the application and potential of Generative Adversarial Networks (GANs) in enhancing LCI datasets.
3. Evaluate the implications, both ethical and practical, of integrating AI into LCA processes.","1. Actively participate in meetings, discussions, and assignments related to LCA and AI.
2. Research LCI dataset gaps and the functionality of GANs in addressing them.
3. Engage in hands-on AI projects and critically reflect on the ethical dimensions of generated data in LCA.",,"1. Attend meetings and engage in LCA and AI-related discussions and activities.
2. Undertake research on LCI challenges and the potential solutions offered by GANs.
3. Collaborate on projects and consider the ethical aspects of AI-generated data in environmental assessments.",SIMTech,Sustainability Informatics & Strategy (SIS),Yang Zhao,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
Sustainable AI: Optimizing Energy Efficiency using Deep Reinforcement Learning,"As AI models, especially deep learning architectures, become more complex, their energy consumption and environmental footprint grow significantly. This project seeks to apply deep reinforcement learning to optimize the energy efficiency of AI operations, from training to inference. By using DRL, we intend to dynamically adjust the computational strategies, allocating resources more efficiently, and potentially even modifying model architectures on-the-fly to ensure minimal energy usage without sacrificing performance. The project will not only focus on the direct energy consumption of AI processes but also consider their entire lifecycle to ensure holistic sustainability.","1.Understand the environmental implications of AI, especially deep learning, in terms of energy consumption and overall footprint.
2.Grasp the principles and applications of deep reinforcement learning (DRL) in optimizing AI operations for energy efficiency.
3.Evaluate the sustainability of AI processes by considering both direct energy consumption and the entire lifecycle of AI operations.","1. Engage in meetings, discussions, and hands-on projects related to sustainable AI and DRL.
2. Research and implement DRL techniques to dynamically adjust AI operations, ensuring energy efficiency.
3. Analyze and evaluate the energy consumption and environmental impact of various AI processes, considering their entire lifecycle.",,"1. Attend meetings and actively participate in discussions focused on the energy efficiency of AI operations.
2. Develop and apply deep reinforcement learning techniques to optimize AI operations for energy sustainability.
3. Conduct holistic evaluations of AI processes, considering both direct energy consumption and broader lifecycle implications.",SIMTech,Sustainability Informatics & Strategy (SIS),Yang Zhao,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
AI-Driven Carbon Footprint Estimation and Mitigation for Blockchain Applications,"With the increasing adoption of blockchain technologies in various sectors, there is a pressing need to quantify and mitigate the environmental impact. This research intends to create an AI-driven framework to precisely measure and predict the carbon footprint of blockchain applications and to provide actionable mitigation solutions.","1. Understand the fundamentals of blockchain technologies and their environmental implications, especially in terms of carbon footprint.
2. Acquire knowledge on AI-driven methodologies for measuring and predicting the environmental impact of blockchain applications.
3. Develop skills to design and implement mitigation solutions to reduce the carbon footprint of blockchain systems.","1. Participate actively in meetings, discussions, and activities related to blockchain, its environmental impact, and AI-driven solutions.
2. Conduct research to measure, predict, and analyze the carbon footprint of various blockchain applications using AI techniques.
3. Design and test mitigation strategies, leveraging AI, to reduce the environmental impact of blockchain technologies.",,"1. Engage in meetings and discussions focused on the environmental implications of blockchain and the role of AI in quantifying and mitigating them.
2. Develop AI-driven frameworks to measure and predict the carbon footprint of blockchain applications.
3. Propose and validate actionable AI-based solutions to reduce the carbon footprint of blockchain technologies.",SIMTech,Sustainability Informatics & Strategy (SIS),Yang Zhao,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Computing & Information Sciences,1
Process development of nanomagnetic particles synthesis and the formation of stable nanofluid,"The project scopes are to establish material and process for stable ferrofluid formation and demonstrate a passive cooling system with developed ferrofluid. Ferrofluid is a stable colloidal suspension of nanoscale ferromagnetic or ferrimagnetic particles in a carrier liquid. When preparing a ferrofluid, it is essential to avoid that the particles agglomerate and settle. The current methods to maintain the stability of nanofluids are mainly changing the preparation method or adding surfactants. In the project we will benchmark in-house synthesized Ferromagnetic nano particles with commercial ones by dispersing in different carrier fluids with added surfactants through stability evaluations such as zeta potential method, sedimentation, and spectral absorbance analysis, etc. the established material and process will be used to demonstrate a passive cooling system for thermal management of electric motors. ","The attached student will learn how to perform literature review, writing of proper lab records, experimental data and report.  To perform systematic scientific investigation and studies through hands-on experience with laboratory techniques and equipment and enhance his/her critical thinking and problem-solving skills. ",Attend HSE induction and briefing to ensure that safety is of priority in lab works. Plan and conduct experimental works (process and characterisation) and document observations and findings. Compile and present results in report and presentation format. ,N.A.,"1)	Literature Review of state-of-art Fe3O4 nanoparticle synthesis methodologies.
2)	Literature review of existing processes for Ferromagnetic nano particles dispersing in different carrier fluids using different surfactants.
3)	Perform lab tests to prepare ferrofluids and evaluate their stabilities.
4)	A final report detailed process and testing results""
",SIMTech,Surface & Circular Processing (SCP),Min Qian,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
Profiling of End-of-Life Components and Processes for Circular Economy,"As various products reaches their end of life (EoL), valuable components on scrap from these EoL products offer a potential source of high quality and green materials. With incresing complexity in the material composition use, the market lacks a material profiling framework to characterise the recoverable materials of the various components. In this project, profiling of the EoL components will be performed; the constituent materials of the components and the conditions of  sub-components and materials will be examined. We will also be looking to develop a framework, build the knowledge graph and establish the database to assess its conditions, then recommend the suitable “r” route based on availability of the enabling  “r” processes (reuse, repair, remanufacture, repurpose, recycle etc). Using specific use cases, the project will investigate for a particular EoL component - what materials it is made of , in a what condition or state is it in, and is suitable for which “r” route for technical feasibility.","The attached student will learn to improve research methodologies including data collection and interpretation, material characterisation and analysis through hands-on experience with laboratory techniques and equipment, and enhance his/her critical thinking and problem solving skills. Findings will need to be presented routine in written and oral presentation, and the attached student can look to enhance written and oral communication skills for effective scientific communication. ","The attached student should go through HSE induction and briefing and ensure safety compliance at all time during duration of attachment. Other than the relevant literature review, the student is expected to plan and conduct the relevant experiments for data gathering and document the observation and findings carefully. Results, discussion and conclusions should be organised, presented clearly in written form or oral presentation.",Nil,"The scopes of the project comprise of:
1)	Literature Review of existing assessment framework for the condition of the various stream of (end-of-life) materials.  
2)	Literature review of existing processes for various R process available for certain sub-component from the composite floorboard and/or airframe
3)	Put pieces of information from the assessment framework and existing processes into a profile map
4)	Material characterisation of the samples of EoL components to input these data into the framework / map",SIMTech,Surface & Circular Processing (SCP),Shuyun Chng,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
Mechano-chemical pre-treatment processes for value extraction from end-of-life products/components,"Increasingly products and components are made of multi-material through overmoulding, coating or joining methods (direct or adhesive) so as to fulfill multiple functionalities, such as lightweight, good thermal conductivity or insulation. However, this make it very challenging when these products and components reach their end-of-life and thus, this project aims to pre-treat them without the use of harsh chemicals, enabling them to be segregated into their individual material streams and reach suitable 'r' paths. The process will focus on specific multi-material combinations and they will be characterised so that the process can be design thorugh selection of suitable chemical and agitation mechanism. There will be a need to optimise the process and characterise the effectiveness and efficiency of process. ","Through this internship, the intern can expect to learn and improve laboratory techniques such as the use of scientific equipment, and also learn how to apply the knowledge learnt in school into projects and real-life application. Further, the intern is expected to present to project team and supervisor, refining their written and presentation skills. ",Attend HSE induction and briefing to ensure that safety is of priority in lab works. Plan and conduct experimental works (process and characterisation) and document observations and findings. Compile and present results in report and presentation format. ,N.A.,"The scopes of the project comprise of:
1)	Literature Review on mechano-chemical processes 
2)	Process optimisation and modification through pre-process characterisation results (material type and combination, interfacial strength, contaminant type)                                                      3)	Characterisation on effectiveness and efficiency of the pre-treatment process
4) Report and presentations on findings and analysis",SIMTech,Surface & Circular Processing (SCP),Xinying Deng,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
Feature recognition for additive manufacturing workflow,"3D printing offers the advantage of reducing lead times in manufacturing. Nevertheless, achieving a final precision product often necessitates post-printing processes such as machining. To optimize the additive manufacturing workflow and minimize processing time, it is essential to identify features in a 3D CAD model that can be automatically recognized as both 3D printable and post-print machinable. By designing for additive manufacturing, minimizing the need for support structures, and leveraging software solutions, manufacturers can streamline the transition from near-net shape 3D prints to highly accurate final products, ensuring efficiency and cost-effectiveness in the production process. This integrated approach harnesses the benefits of 3D printing while maintaining product quality.","The student will be able to implement his Python programming to recognize features from the 3D CAD model for AM workflow.
The student is able to determine whether the recognized features are 3D printable, CNC 2D machinable, or both. 
The student will be able to route the entire AM workflow from a 3D printed near-net shape to the final precision product.","1. Coming to the office/lab on time.
2. Being prepared for office/lab work with all necessary supplies.
3. Taking good care of A*STAR property.
4. Completing all work assignments.
5. Organizing their time well.
6. Respecting themselves and others.
7. Doing literature search and reading on a regular basis.
8. Doing their best.","The candidate is required to have an adequate level of proficiency in CAD skills and Python programming.
Prerequisite:  GPA 4.0 (Minimal).","1) state-of-art literature survey on feature recognition for AM and post-processing
2) write and test Python programs to recognize a list of planned features
3) write and test programs to generate/recommend optimal manufacturing routes (from near-net shape to final product) based on recognized features.",SIMTech,Additive Tech Innovation (ATI),Wee Keong Dennis Neo,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
Chemical Free and Energy Efficient Processes for Wastewater Treatment and Water Circularity,"Wastewaters need be properly treated to mitigate pollution to environment and reclaim water sources for reuse. The contaminants in wastewaters may present in various types (soluble, non-soluble, inorganic, organic, microbial, etc.) and at different concentrations (from < 1 mg/L to > 100 g/L). Therefore, a comprehensive process including different technologies (biological, chemical, physical) would be a practical solution to remove these contaminants in the wastewaters. However, there are several limitations in current wastewater treatment technologies. For example, coagulation has sludge disposal problems, biological treatment (both aerobic and anaerobic processes) requires substantial chemical input for pretreatment and conditioning, as well as post-treatment of the sludge. Advanced oxidation processes (AOPs) could provide non-selective oxidation to degrade organic contaminants which are not suitable for biological treatment, but the high cost and potential toxic by-products need be adressed. In this project, we will leverage on the synergistic effect of hybrid wastewater treatment technologies to provide minimal chemical addition, sludge generation and secondary pollution in wastewater treatment, and to achieve water circularity in sustainable manufacturing.","The student will learn analytical tools for water and wastewater characterization, electrochemical advanced oxidation process for organic wastewater treatment, filtration process, as well as other research skills including literature review and data analysis.",The attached student will go through HSE induction and briefing and ensure safety compliance. Literature review. Plan and conduct the relevant experiments. Compile and present results in written form or oral presentation.,N.A.,"1) Literature review on wastewater treament related technologies.
2) Perform lab work on water analysis using Total Organic Carbon (TOC), Ion Chromatograhpy (IC), Chemical Oxgyen Demand (COD) and other analytical instrument.
3) Performance evalutaion of hybrid wastewater treatment process.
4) Data acquisition and analysis.
6) Report on results and findings.",SIMTech,Surface & Circular Processing (SCP),Weiyi Wu,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732",Engineering & Technology,1
